commit_id,confidence_high,confidence_medium,confidence_low,severity_high,severity_medium,severity_low,unique_cwes
8d1e16a5e400130e4601b6fcf7e0a1ffa932d8e0,82,42,1,16,16,93,"[259, 295, 327, 330, 78, 400, 20, 502, 703]"
8f7a7d4e45809287c2af9cca0bff1b4578c5ec84,82,42,1,16,16,93,"[259, 295, 327, 330, 78, 400, 20, 502, 703]"
8f7caaeb07f5e80b0e64a3e88513b13c1ccddab8,82,42,1,16,16,93,"[259, 295, 327, 330, 78, 400, 20, 502, 703]"
9015523e4d82d42619d6c1052c4009702007e40c,82,42,1,16,16,93,"[259, 295, 327, 330, 78, 400, 20, 502, 703]"
914b44f799ff7d127310102beac37df157952faf,82,42,1,16,16,93,"[259, 295, 327, 330, 78, 400, 20, 502, 703]"
9377b5aa8250d737afda5de17d627108da4fcc3b,83,42,1,16,16,94,"[259, 295, 327, 330, 78, 400, 20, 502, 703]"
94568b9a662164a9a28e32cf1061ced9c5df252c,82,42,1,16,16,93,"[259, 295, 327, 330, 78, 400, 20, 502, 703]"
94792199a8888de884604d7efb8e4c883febbbee,82,42,1,16,16,93,"[259, 295, 327, 330, 78, 400, 20, 502, 703]"
94aa94492333fa5c428173e618f2b2ac1ff49f69,81,42,1,15,15,94,"[259, 295, 327, 330, 78, 400, 20, 502, 703]"
967c492926cfc7aba8022c476dff348d0fd55850,82,42,1,16,16,93,"[259, 295, 327, 330, 78, 400, 20, 502, 703]"
96b6a760e1da049af52de1fb1815e3203505f3f9,82,42,1,16,16,93,"[259, 295, 327, 330, 78, 400, 20, 502, 703]"
98385ddf3f5e6c45c618926b86a2685b4d8925df,82,42,1,16,16,93,"[259, 295, 327, 330, 78, 400, 20, 502, 703]"
98e9f2d324d3c255620e52c66c3ac9f556f90a74,82,42,1,16,16,93,"[259, 295, 327, 330, 78, 400, 20, 502, 703]"
9e4bf6c740e68c8a9a44310d4219e7b8d759f68b,83,42,1,16,16,94,"[259, 295, 327, 330, 78, 400, 20, 502, 703]"
9f064fedbb1e3bc608992d82769381306ece93e9,82,42,1,16,16,93,"[259, 295, 327, 330, 78, 400, 20, 502, 703]"
