commit_id,confidence_high,confidence_medium,confidence_low,severity_high,severity_medium,severity_low,unique_cwes
8239f1bf3510cd327c58d470b3808b5f4ce33720,63,1,0,4,5,55,"[330, 78, 20, 502, 22, 703]"
85638d88dc7f26d0e5de8074465c754821c295b9,63,1,0,4,5,55,"[330, 78, 20, 502, 22, 703]"
85f84562289429ad0131329637232b20f18d75e5,63,1,0,0,5,59,"[330, 78, 20, 502, 22, 703]"
88370d4d5da329d4866b5edd68cf7e267d0d822e,63,1,0,4,5,55,"[330, 78, 20, 502, 22, 703]"
89ddfadf6b2d21cc76b334c9fecebdc9fb190353,65,1,0,2,5,59,"[330, 78, 20, 502, 22, 703]"
8dfd4c1c4e7fa70a936caca24fdd5656ec1f39e6,63,1,0,0,5,59,"[330, 78, 20, 502, 22, 703]"
8eac976c8dfe72d7f47bf9b1143b9d209c0793aa,63,1,0,4,5,55,"[330, 78, 20, 502, 22, 703]"
8f1299929fd97543711169e3e61cf25fe77fa1fe,63,1,0,4,5,55,"[330, 78, 20, 502, 22, 703]"
90ab2f64bb781c31641b5d73ecff498cd36cc858,63,1,0,4,5,55,"[330, 78, 20, 502, 22, 703]"
9475fcd19eaaf2eff564368cd4468f8b93b275ef,63,1,0,4,5,55,"[330, 78, 20, 502, 22, 703]"
94f6f0aa963a9aa61126789101f4e15321fd3097,63,1,0,0,5,59,"[330, 78, 20, 502, 22, 703]"
95bb67c47fb799bd6283bd88cd937938b1909a45,63,1,0,4,5,55,"[330, 78, 20, 502, 22, 703]"
95fca885c920e469ca718e72d383f8790e3a6dca,63,1,0,4,5,55,"[330, 78, 20, 502, 22, 703]"
96a4a4b76f6aa9512924fd0e2f17d64d347eecf8,63,1,0,0,5,59,"[330, 78, 20, 502, 22, 703]"
97b6e39abb2a055a38e7034d2078535f0e1a8ec4,63,1,0,4,5,55,"[330, 78, 20, 502, 22, 703]"
99493fc4f783d41988af38ad9d5f0215cfbe174a,63,1,0,4,5,55,"[330, 78, 20, 502, 22, 703]"
9cd6a87ff88dd7f1805e0394661d79f63b67013c,63,1,0,4,5,55,"[330, 78, 20, 502, 22, 703]"
a34c4482f6a7896be33b4384f9f783049e94aa63,63,1,0,4,5,55,"[330, 78, 20, 502, 22, 703]"
aa18373eb7487895b0d91e21067d70d373d2be84,63,1,0,4,5,55,"[330, 78, 20, 502, 22, 703]"
aaa28a2712d00288b668ad0344dbe4cf8dab3b87,63,1,0,4,5,55,"[330, 78, 20, 502, 22, 703]"
ac01b144e8d1916645122f40885f816aa8f7e64c,65,1,0,2,5,59,"[330, 78, 20, 502, 22, 703]"
af923a2327f4b6c9a306f2e626eddb6ce59f906b,63,1,0,4,5,55,"[330, 78, 20, 502, 22, 703]"
b593cde3177cf5aedb7c50a6c87111d51626b8f6,63,1,0,0,5,59,"[330, 78, 20, 502, 22, 703]"
b84376d6fd08435f5ab7b55c0592e3232f822c4f,63,1,0,4,5,55,"[330, 78, 20, 502, 22, 703]"
bddd9c35eaf27e70d5c9d4770df6dd1aa9eeab73,63,1,0,4,5,55,"[330, 78, 20, 502, 22, 703]"
c6b9826f847eafbde96539f828d060d916cae34d,63,1,0,4,5,55,"[330, 78, 20, 502, 22, 703]"
c8326d1ccefe8fc32377040d3af33aecda91bf50,59,1,0,4,5,51,"[78, 20, 22, 502, 703]"
c96734ace0e64b9b1fc71f25d38ae6d8d855cca6,63,1,0,0,5,59,"[330, 78, 20, 502, 22, 703]"
ccb9977a67f65b6a957cdc83be726655fcf7fa50,63,1,0,4,5,55,"[330, 78, 20, 502, 22, 703]"
cf37f34e1fdca0f39af8dd9de4e3b7de4453a978,63,1,0,4,5,55,"[330, 78, 20, 502, 22, 703]"
